task_id,user_name,duration_seconds,date,type
manual_cut_18296743428_20260721_152823_00005_task_1,Komal,59.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00005_task_1,Komal,59.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00005_task_0,Komal,16.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00005_task_0,Komal,16.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00004_task_3,Komal,60.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00004_task_3,Komal,60.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00004_task_2,Komal,99.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00004_task_2,Komal,99.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00004_task_1,Komal,70.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00004_task_1,Komal,70.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00004_task_0,Komal,67.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00004_task_0,Komal,67.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00003_task_3,Komal,26.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00003_task_3,Komal,26.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00003_task_2,Komal,78.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00003_task_2,Komal,78.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00003_task_1,Komal,90.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00003_task_1,Komal,90.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00003_task_0,Komal,102.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00003_task_0,Komal,102.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00002_task_3,Komal,72.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00002_task_3,Komal,72.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00002_task_2,Komal,92.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00002_task_2,Komal,92.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00002_task_1,Komal,10.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00002_task_1,Komal,10.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00002_task_0,Komal,123.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00002_task_0,Komal,123.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00001_task_0,Komal,97.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00001_task_0,Komal,97.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00000_task_3,Komal,99.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00000_task_3,Komal,99.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00000_task_2,Komal,72.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00000_task_2,Komal,72.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00000_task_1,Komal,23.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00000_task_1,Komal,23.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_152823_00000_task_0,Komal,105.0,2026-08-26,submitted
manual_cut_18296743428_20260721_152823_00000_task_0,Komal,105.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_143411_00001_task_1,Komal,114.0,2026-08-26,submitted
manual_cut_18296743428_20260721_143411_00001_task_1,Komal,114.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_143411_00001_task_0,Komal,113.0,2026-08-26,submitted
manual_cut_18296743428_20260721_143411_00001_task_0,Komal,113.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_143411_00000_task_1,Komal,98.0,2026-08-26,submitted
manual_cut_18296743428_20260721_143411_00000_task_1,Komal,98.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_143411_00000_task_0,Komal,180.0,2026-08-26,submitted
manual_cut_18296743428_20260721_143411_00000_task_0,Komal,180.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_125809_00016_task_1,Komal,230.0,2026-08-26,submitted
manual_cut_18296743428_20260721_125809_00016_task_1,Komal,230.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_125809_00016_task_0,Komal,68.0,2026-08-26,submitted
manual_cut_18296743428_20260721_125809_00016_task_0,Komal,68.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_125809_00013_task_0,Komal,300.0,2026-08-26,submitted
manual_cut_18296743428_20260721_125809_00013_task_0,Komal,300.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_125809_00012_task_2,Komal,71.0,2026-08-26,submitted
manual_cut_18296743428_20260721_125809_00012_task_2,Komal,71.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_125809_00012_task_1,Komal,116.0,2026-08-26,submitted
manual_cut_18296743428_20260721_125809_00012_task_1,Komal,116.0,2026-08-26,leader_passed
manual_cut_18296743428_20260721_125809_00012_task_0,Komal,77.0,2026-08-26,submitted
manual_cut_18296743428_20260721_125809_00012_task_0,Komal,77.0,2026-08-26,leader_passed
manual_cut_13387469626_20260804_185222_00005_task_1,Riya,232.0,2026-08-26,submitted
manual_cut_13387469626_20260804_185222_00005_task_1,Riya,232.0,2026-08-26,leader_passed
manual_cut_13387469626_20260804_185222_00005_task_0,Riya,67.0,2026-08-26,submitted
manual_cut_13387469626_20260804_185222_00005_task_0,Riya,67.0,2026-08-26,leader_passed
manual_cut_13387469626_20260804_185222_00004_task_3,Riya,43.0,2026-08-26,submitted
manual_cut_13387469626_20260804_185222_00004_task_3,Riya,43.0,2026-08-26,leader_passed
